Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Al,Element_at_pct_Ni,Predicted_Capacity_wt
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
36.2,35.2,9.5,9.5,9.5,0.0,0.0,0.0,3.5277998
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
39.0,35.2,9.5,6.7,9.5,0.0,0.0,0.0,3.5200841
